="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Hayes, Aiden",="200",="147102045",="200 FL SCY",="16",="1:41.34",="1:41.34",="2022 Summer Nationals (LCM)",="2019 Winter Junior Nats - West",="12/14/2019",="Sooner Swim Club",="OK",="",="1065",="19",="Yes"
="2","Fenlon, Matt",="200",="147101460",="200 FL SCY",="17",="1:42.53",="1:42.53",="2022 Summer Nationals (LCM)",="2019 Winter Junior Nats - East",="12/14/2019","Badger Swim Club,Inc.",="MR",="",="1012",="19",="Yes"
="3","Affeld, Jonny",="200",="147101683",="200 FL SCY",="17",="1:44.02",="1:44.02",="2022 Summer Nationals (LCM)",="2019 Winter Junior Nats - West",="12/14/2019",="Alto Swim Club",="PC",="",="979",="19",="Yes"
="4","Van Zandt, Zac",="200",="146755142",="200 FL SCY",="17",="1:44.96",="1:44.96",="2022 Summer Nationals (LCM)",="2019 PN 71st Annual Husky Invitational",="12/8/2019",="CCAT Swimming",="CA",="",="958",="19",="Yes"
="5","Rose, Dare",="200",="145258914",="200 FL SCY",="17",="1:45.65",="1:45.65",="2021 Winter US Open (LCM)",="2019 NE ABF Trials/Finals at R",="11/3/2019",="Scarlet Aquatics",="NJ",="",="943",="19",="Yes"
="6","Cheng, Vincent",="200",="147101819",="200 FL SCY",="16",="1:45.79",="1:45.79",="2021 Winter US Open (LCM)",="2019 Winter Junior Nats - West",="12/14/2019",="Brea Aquatics",="CA",="",="966",="19",="Yes"
="7","Crawford, Jace",="200",="147101431",="200 FL SCY",="17",="1:45.92",="1:45.92",="2021 Winter US Open (LCM)",="2019 Winter Junior Nats - East",="12/14/2019",="Episcopal AmberJax",="FL",="",="937",="19",="Yes"
="8","Matheson, Daniel",="200",="150904751",="200 FL SCY",="17",="1:45.94",="1:45.94",="2021 Winter US Open (LCM)",="2020 AZ SAC Summer Senior Intrasquad ",="8/8/2020",="Scottsdale Aquatic Club",="AZ",="",="937",="19",="Yes"
="9","Tiffany, Jordan",="200",="147102556",="200 FL SCY",="17",="1:45.95",="1:45.95",="2021 Winter US Open (LCM)",="2019 Winter Junior Nats - West",="12/14/2019",="Hilltop Aquatic Swim Team",="UT",="",="936",="19",="Yes"
="10","Gore, Cris",="200",="150456914",="200 FL SCY",="17",="1:46.06",="1:46.06",="2021 Winter US Open (LCM)",="2020 Sectionals - Carlsbard",="2/29/2020",="Sierra Marlins Swim Team",="SN",="",="934",="19",="Yes"
="11","Hu, Ethan",="200",="145544598",="200 FL SCY",="17",="1:46.19",="1:46.19",="2021 Winter US Open (LCM)",="2019 PC PLS SCY Senior 2",="11/10/2019",="Peak Swimming",="PC",="",="931",="19",="Yes"
="12","Bloebaum, Carl",="200",="147101391",="200 FL SCY",="16",="1:46.35",="1:46.35",="2021 Winter US Open (LCM)",="2019 Winter Junior Nats - East",="12/14/2019",="Mason Manta Rays",="OH",="",="954",="19",="Yes"
="13","Hussong, Justin",="200",="147102087",="200 FL SCY",="17",="1:46.38",="1:46.38",="2021 Winter US Open (LCM)",="2019 Winter Junior Nats - West",="12/14/2019",="Anaheim Aquatics Association",="CA",="",="927",="19",="Yes"
="14","Bried, Tommy",="200",="147101400",="200 FL SCY",="16",="1:46.45",="1:46.45",="2021 Winter US Open (LCM)",="2019 Winter Junior Nats - East",="12/14/2019",="ACE Aquatic Club",="GA",="",="952",="19",="Yes"
="15","Branon, Ryan",="200",="150018161",="200 FL SCY",="16",="1:46.54",="1:46.54",="2021 Winter US Open (LCM)",="2020 MD LSC Senior Championshi",="2/22/2020",="North Baltimore Aquatic Club",="MD",="",="950",="19",="Yes"
="16","Miller, Luke",="200",="147102276",="200 FL SCY",="17",="1:46.58",="1:46.58",="2021 Winter US Open (LCM)",="2019 Winter Junior Nats - West",="12/14/2019",="Elevation Athletics",="CO",="",="923",="19",="Yes"
