"result_rank","full_name","distance","time_id","event_desc","swimmer_age","swim_time_formatted","alt_adj_swim_time_formatted","standard_name","meet_name","swim_date","club_name","lsc_id","foreign_yesno","hytek_power_points","event_id","sanction_status"
"1","Hayes, Aiden","100","135965967","100 BK SCY","15","47.26","47.26","2022 Summer Juniors (LCM)","2018 Winter Junior Nats - West","12/7/2018","Sooner Swim Club","OK","","1071","12","Yes"
"2","Alexy, Jack","100","135959092","100 BK SCY","15","48.17","48.17","2022 Summer Juniors (LCM)","2018 Winter Junior Nats - East","12/7/2018","Somerset Hills YMCA","NJ","","1027","12","Yes"
"3","Lu, Tyler","100","135966538","100 BK SCY","15","48.22","48.22","2022 Summer Juniors (LCM)","2018 Winter Junior Nats - West","12/7/2018","Seattle Metropolitan Aquatic Club","PN","","1024","12","Yes"
"4","Dalmacio, Ronald","100","135965462","100 BK SCY","14","48.64","48.64","2022 Summer Juniors (LCM)","2018 Winter Junior Nats - West","12/7/2018","Rose Bowl Aquatics","CA","","1057","12","Yes"
"5","Hong, Tyler","100","139309352","100 BK SCY","15","48.75","48.75","2022 Summer Juniors (LCM)","2019 LE Obv OHIO HS State ","2/22/2019","Unattached","LE","","998","12","Yes"
"6","Zuchowski, Josh","100","139986867","100 BK SCY","14","48.76","48.76","2022 Summer Juniors (LCM)","2019 FG Junior Olympics - CSSC","3/16/2019","Flood Aquatics Swim Team","FG","","1051","12","Yes"
"7","Kwan, Hayden","100","134870131","100 BK SCY","15","48.98","48.98","2022 Summer Juniors (LCM)","2018 FHSAA 3A State Meet","11/9/2018","Unattached","FL","","987","12","Yes"
"8","Feyerick, Brett","100","138186703","100 BK SCY","15","49.00","49.00","2022 Summer Juniors (LCM)","2019 PV OB Metro Championships","2/9/2019","Unattached","PV","","986","12","Yes"
"9","Lane, Austin","100","135966354","100 BK SCY","15","49.25","49.25","2022 Summer Juniors (LCM)","2018 Winter Junior Nats - West","12/7/2018","Fresno Dolphins Swim Team","CC","","974","12","Yes"
"10","Barr, Luke","100","138520998","100 BK SCY","15","49.48","49.48","2022 Summer Juniors (LCM)","2019 MW Obs Metro Conference","2/8/2019","Unattached","MW","","963","12","Yes"
"11","O'Leary, Griffin","100","138951137","100 BK SCY","15","49.53","49.53","2022 Summer Juniors (LCM)","2019 ILOB IHSA Boys Swimming C","2/22/2019","Unattached","IL","","961","12","Yes"
"12","Le-Nguyen, Zach","100","141014601","100 BK SCY","15","49.76","49.76","2021 Winter US Open (LCM)","2019 CIF STATE SWIM CHAMPS","5/10/2019","Unattached","PC","","950","12","Yes"
"13","Russano, Trent","100","140354281","100 BK SCY","15","49.80","49.80","2021 Winter US Open (LCM)","2019 NC AP YMCA SCY  Nationals","4/3/2019","Somerset Hills YMCA","NJ","","948","12","Yes"
"14","Weaver, Ryan","100","139658148","100 BK SCY","15","49.86","49.86","2021 Winter US Open (LCM)","2019 Sectionals - Raleigh ","3/9/2019","Carolina Aquatic Team","NC","","945","12","Yes"
"15","Abaqueta, Cam","100","139655321","100 BK SCY","15","49.91","49.91","2021 Winter Juniors (SCY)","2019 Sectionals - Raleigh ","3/9/2019","SwimMAC Carolina","NC","","943","12","Yes"
"16","Modglin, Will","100","140584135","100 BK SCY","14","49.92","49.92","2021 Winter Juniors (SCY)","2019 Indiana Senior Short Cour","3/16/2019","Zionsville Swim Club","IN","","996","12","Yes"
"16","Petty, Evan","100","139001723","100 BK SCY","15","49.92r","49.92","2021 Winter Juniors (SCY)","2019 SE Southeastern SC Champi","2/23/2019","Ensworth Aquatics","SE","","942","12","Yes"
"18","Kyi, Kevin","100","135720722","100 BK SCY","15","49.95","49.95","2021 Winter Juniors (SCY)","2018 PN AP 70th Husky SCY Invitational","12/1/2018","Seattle Metropolitan Aquatic Club","PN","","941","12","Yes"
"19","Pareja, Diego","100","140523649","100 BK SCY","15","49.98r","49.98","2021 Winter Juniors (SCY)","2019 NCSA Spring Championship","3/23/2019","Academy Bullets Swim Club","IL","","940","12","Yes"
