="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Jones, Keaton",="200",="151193337",="200 BK SCY",="15",="1:43.29",="1:43.29",="2022 Summer Nationals (LCM)",="2020 AZ NEP Herculean Invitational E",="9/5/2020",="Unattached",="AZ",="",="1062",="13",="Yes"
="2","Maldari, Caleb",="200",="153862679",="200 BK SCY",="15",="1:44.65",="1:44.65",="2022 Summer Nationals (LCM)",="2021 NE ABF CL Westfield Inter",="3/20/2021",="Bluefish Swim Club",="NE",="",="1030",="13",="Yes"
="3","Lancaster, Carter",="200",="152163067",="200 BK SCY",="14",="1:46.52",="1:46.52",="2021 Winter US Open (LCM)",="2020 IN CSC-Lakeside Winter Dual",="12/20/2020",="Carmel Swim Club",="IN",="",="1027",="13",="Yes"
="4","Wimberly, Jacob",="200",="153491605",="200 BK SCY",="15",="1:46.88",="1:46.88",="2021 Winter US Open (LCM)",="2021 NC TAC ESSZ SC Sectional",="3/6/2021",="SwimMAC Carolina",="NC",="",="979",="13",="Yes"
="5","Thompson, Will",="200",="153491290",="200 BK SCY",="15",="1:47.02",="1:47.02",="2021 Winter US Open (LCM)",="2021 NC TAC ESSZ SC Sectional",="3/6/2021",="TAC Titans",="NC",="",="975",="13",="Yes"
="6","Najera, Humberto",="200",="151876676",="200 BK SCY",="15",="1:47.71",="1:47.71",="2022 Summer Juniors (LCM)",="2020 AZ MAC Senior Holiday Chall",="12/5/2020",="Mission Viejo Nadadores",="CA",="",="960",="13",="Yes"
="7","Kelly, Jeremy",="200",="153597191",="200 BK SCY",="15",="1:47.75",="1:47.75",="2022 Summer Juniors (LCM)",="2021-NT Speedo Lone Star Invitational",="3/5/2021",="Nitro Swimming",="ST",="",="959",="13",="Yes"
="8","Poplawski, Richard",="200",="153982609",="200 BK SCY",="14",="1:47.78",="1:47.78",="2022 Summer Juniors (LCM)",="2021 NJ SCAR Scarlet Pandemic Games",="3/23/2021",="Scarlet Aquatics",="NJ",="",="998",="13",="Yes"
="9","Williamson, Maximus",="200",="153553222",="200 BK SCY",="14",="1:47.85",="1:47.85",="2022 Summer Juniors (LCM)",="2021 GU TWST Short Course TAGS",="3/7/2021",="North Texas Nadadores",="NT",="",="997",="13",="Yes"
="10","Heinlein, Jaden",="200",="153760557",="200 BK SCY",="15",="1:47.95",="1:47.95",="2022 Summer Juniors (LCM)",="2021 ILOP Illinois Swimming Winter Open",="3/20/2021",="Patriot Aquatic Club",="IL",="",="954",="13",="Yes"
