"result_rank","full_name","distance","time_id","event_desc","swimmer_age","swim_time_formatted","alt_adj_swim_time_formatted","standard_name","meet_name","swim_date","club_name","lsc_id","foreign_yesno","hytek_power_points","event_id","sanction_status"
"1","Foster, Carson","200","139309186","200 FR SCY","17","1:32.99","1:32.99","2022 Summer Nationals (LCM)","2019 LE Obv OHIO HS State ","2/22/2019","Unattached","OH","","1010","3","Yes"
"2","Burns, Brendan","200","140350273","200 FR SCY","17","1:34.15","1:34.15","2022 Summer Nationals (LCM)","2019 NC AP YMCA SCY  Nationals","4/3/2019","Upper Main Line YMCA","MA","","976","3","Yes"
"3","Walker, Jack","200","135959318","200 FR SCY","17","1:34.16","1:34.16","2022 Summer Nationals (LCM)","2018 Winter Junior Nats - East","12/7/2018","SwimMAC Carolina","NC","","976","3","Yes"
"4","Mitchell, Jake","200","139152339","200 FR SCY","17","1:34.24","1:34.24","2022 Summer Nationals (LCM)","2019 IN OBS IHSAA Boys State Champs","2/22/2019","Unattached","IN","","974","3","Yes"
"5","Urlando, Luca","200","135968105","200 FR SCY","16","1:34.38r","1:34.38","2022 Summer Nationals (LCM)","2018 Winter Junior Nats - West","12/5/2018","DART Swimming","SN","","990","3","Yes"
"6","Carrozza, Coby","200","135965265","200 FR SCY","17","1:34.67","1:34.67","2022 Summer Nationals (LCM)","2018 Winter Junior Nats - West","12/7/2018","Longhorn Aquatics","ST","","961","3","Yes"
"7","Magahey, Jake","200","135919769","200 FR SCY","17","1:35.13r","1:35.13","2022 Summer Nationals (LCM)","2018 Winter Junior Nats - East","12/5/2018","SwimAtlanta","GA","","948","3","Yes"
"8","Hill, Julian","200","135959183","200 FR SCY","17","1:35.14","1:35.14","2022 Summer Nationals (LCM)","2018 Winter Junior Nats - East","12/7/2018","Gator Swim Club","FL","","948","3","Yes"
"9","Lasco, Destin","200","139554069","200 FR SCY","17","1:35.17","1:35.17","2022 Summer Nationals (LCM)","2019 MA OB NJ High School States","3/2/2019","Unattached","MA","","947","3","Yes"
"10","Larson, Peter","200","135966359","200 FR SCY","17","1:35.32","1:35.32","2022 Summer Nationals (LCM)","2018 Winter Junior Nats - West","12/7/2018","Edina Swim Club","MN","","943","3","Yes"
"11","Bowers, Noah","200","136449796","200 FR SCY","17","1:35.42","1:35.42","2022 Summer Nationals (LCM)","2018 AM 57th Annual Christmas Meet","12/15/2018","Virginia Gators","VA","","940","3","Yes"
"12","Miller, Luke","200","141314917","200 FR SCY","17","1:35.62","1:34.42","2022 Summer Juniors (LCM)","2019 CO OB Front Range League","5/10/2019","Unattached","CO","","934","3","Yes"
"13","Saunders, Max","200","135967210","200 FR SCY","17","1:35.71","1:35.71","2022 Summer Juniors (LCM)","2018 Winter Junior Nats - West","12/7/2018","Santa Clara Swim Club","PC","","931","3","Yes"
"14","Corbeau, Caspar","200","139935322","200 FR SCY","17","1:35.85","1:35.85","2022 Summer Juniors (LCM)","2019 Sectionals - Federal Way","3/15/2019","Tualatin Hills Swim Club","OR","Yes","927","3","Yes"
"15","Wilburn, Cason","200","138694286","200 FR SCY","17","1:35.93","1:35.93","2022 Summer Juniors (LCM)","2019 PV OB VHSL Class 6 State","2/15/2019","Unattached","VA","","925","3","Yes"
"16","Chaney, Adam","200","139552986","200 FR SCY","16","1:35.99r","1:35.99","2022 Summer Juniors (LCM)","2019 SE Speedo Southern Premier","3/1/2019","Mason Manta Rays","OH","","944","3","Yes"
"17","Mefford, Colby","200","135966698","200 FR SCY","17","1:36.06","1:36.06","2022 Summer Juniors (LCM)","2018 Winter Junior Nats - West","12/7/2018","Sierra Marlins Swim Team","SN","","922","3","Yes"
"18","Dolan, Jack","200","135965557","200 FR SCY","17","1:36.10","1:36.10","2022 Summer Juniors (LCM)","2018 Winter Junior Nats - West","12/7/2018","Rockwood Swim Club","OZ","","920","3","Yes"
"18","Tapp, Hunter","200","139552011","200 FR SCY","17","1:36.10","1:36.10","2022 Summer Juniors (LCM)","2019 SE Speedo Southern Premier","3/1/2019","Lakeside Swim Team","KY","","920","3","Yes"
"20","Forbes, Ben","200","141014447","200 FR SCY","17","1:36.19","1:36.19","2022 Summer Juniors (LCM)","2019 CIF STATE SWIM CHAMPS","5/10/2019","Unattached","CC","","918","3","Yes"
"21","David, Calvin","200","141320516","200 FR SCY","17","1:36.21","1:36.21","2022 Summer Juniors (LCM)","2019 PC NCS Championships - obs","5/3/2019","Unattached","PC","","917","3","Yes"
"22","Van Zandt, Zac","200","140712644","200 FR SCY","16","1:36.32","1:36.32","2022 Summer Juniors (LCM)","2019 CA OB CIF-SS Division 1","5/2/2019","Unattached","CA","","935","3","Yes"
"23","Maurer, Luke","200","140519835","200 FR SCY","17","1:36.33","1:36.33","2022 Summer Juniors (LCM)","2019 NCSA Spring Championship","3/21/2019","NASA Wildcat Aquatics","IL","","914","3","Yes"
"24","Scott, Donald","200","138575156","200 FR SCY","17","1:36.54","1:36.54","2022 Summer Juniors (LCM)","2019 ST UIL 6A State Meet","2/15/2019","Unattached","NT","","908","3","Yes"
"25","Hawk, Dylan","200","140935933","200 FR SCY","16","1:36.56","1:36.56","2022 Summer Juniors (LCM)","2019 PC CCS Championships - obs","5/3/2019","Unattached","PC","","928","3","Yes"
"26","Boone, Garrett","200","140215764","200 FR SCY","16","1:36.65","1:36.65","2022 Summer Juniors (LCM)","2019 NC ATOM BRSL Championship","3/24/2019","Aquatic Team Of Mecklenburg","NC","","926","3","Yes"
"27","Manoff, Blake","200","137953072","200 FR SCY","17","1:36.77","1:36.77","2022 Summer Juniors (LCM)","Virginia Tech Invite","2/2/2019","Unattached","VA","","901","3","Yes"
"28","Mihm, Rick","200","136453590","200 FR SCY","17","1:36.79","1:36.79","2022 Summer Juniors (LCM)","2018 AM 57th Annual Christmas Meet","12/15/2018","Allegheny North Swim Club","AM","","901","3","Yes"
"29","Alexy, Jack","200","140349740","200 FR SCY","16","1:36.81","1:36.81","2022 Summer Juniors (LCM)","2019 NC AP YMCA SCY  Nationals","4/3/2019","Somerset Hills YMCA","NJ","","921","3","Yes"
